name,total_hg19_counts,total_mm10_counts,unique_hg19_genes,unique_mm10_genes,hg19_unique_count_ratio,mm10_unique_count_ratio,hg19_multiplet,mm10_multiplet,hg19_mm10_multiplet,Multiplet,Multiplet_Type,Droplet_Contents
alignments.possorted.tagged_BC01873_N01,2727,29,2617,29,0.99479538590301,1,FALSE,FALSE,FALSE,FALSE,Singlet,Human
alignments.possorted.tagged_BC01874_N03,37,7882,36,7021,0.99241218580678,0.987107481441864,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01875_N04,7262,57,6489,57,0.987340647915509,1,TRUE,FALSE,FALSE,TRUE,Human + Human,Human + Human
alignments.possorted.tagged_BC01876_N02,5015,35,4584,35,0.989453115985884,1,FALSE,FALSE,FALSE,FALSE,Singlet,Human
alignments.possorted.tagged_BC01877_N01,14,3971,14,3705,1,0.991633089084592,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01878_N03,5820,59,5294,59,0.989073070590743,1,FALSE,FALSE,FALSE,FALSE,Singlet,Human
alignments.possorted.tagged_BC01879_N03,41,9064,41,7751,1,0.982826215282617,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01880_N03,22,4794,22,4422,1,0.990469391628462,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01881_N04,34,9344,32,8001,0.982808161164113,0.983027829702464,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01882_N05,29,7786,27,6892,0.978778531026057,0.986387856346287,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01883_N02,20,5144,19,4744,0.982877877692756,0.990527235613693,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01884_N03,21,7466,21,6533,1,0.985031239255042,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01885_N03,36,8428,32,7407,0.967132018086354,0.985714182974464,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01886_N03,33,7741,32,6693,0.991199315852803,0.983754296931082,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01887_N03,47,8998,41,7696,0.964527195023617,0.982832973291438,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01888_N03,25,6517,25,5891,1,0.988500747377078,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01889_N01,2938,34,2803,34,0.994109461183858,1,FALSE,FALSE,FALSE,FALSE,Singlet,Human
alignments.possorted.tagged_BC01890_N03,7320,50,6426,50,0.985361573907714,1,TRUE,FALSE,FALSE,TRUE,Human + Human,Human + Human
alignments.possorted.tagged_BC01891_N03,47,7182,46,6468,0.99441418681938,0.988207340345515,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01892_N02,16,6363,16,5703,1,0.987496640708106,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01893_N03,28,5993,28,5488,1,0.989879890167663,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01894_N03,4518,53,4016,49,0.986004575915421,0.980235303310157,TRUE,FALSE,FALSE,TRUE,Human + Human,Human + Human
alignments.possorted.tagged_BC01895_N04,4778,40,4395,40,0.990137309500399,1,FALSE,FALSE,FALSE,FALSE,Singlet,Human
alignments.possorted.tagged_BC01896_N03,40,7340,38,6562,0.986095155717179,0.987412400480575,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01897_N03,35,7196,35,6267,1,0.984436079530865,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01898_N04,5933,64,5421,61,0.989612485751499,0.988456222927148,FALSE,FALSE,FALSE,FALSE,Singlet,Human
alignments.possorted.tagged_BC01899_N03,3849,25,3572,25,0.990953050671119,1,FALSE,FALSE,FALSE,FALSE,Singlet,Human
alignments.possorted.tagged_BC01900_N03,6024,53,5449,51,0.988473682211816,0.990311472892838,FALSE,FALSE,FALSE,FALSE,Singlet,Human
alignments.possorted.tagged_BC01901_N03,4266,48,3942,48,0.990549852858431,1,FALSE,FALSE,FALSE,FALSE,Singlet,Human
alignments.possorted.tagged_BC01902_N05,21,9150,20,7826,0.983974444213354,0.982864419386401,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01903_N05,3133,61,2963,61,0.99306950289336,1,FALSE,FALSE,FALSE,FALSE,Singlet,Human
alignments.possorted.tagged_BC01904_N04,25,7444,24,6681,0.987317934353082,0.987870030604799,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01905_N02,23,4804,22,4419,0.985823044308292,0.990145869290882,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01906_N03,5741,47,5191,47,0.988364814343369,1,FALSE,FALSE,FALSE,FALSE,Singlet,Human
alignments.possorted.tagged_BC01907_N03,21,7280,21,6546,1,0.98804924695512,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01908_N03,23,7071,21,6348,0.970986462758067,0.987831107325446,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01909_N02,3872,33,3653,32,0.992952583040815,0.991199315852803,FALSE,FALSE,FALSE,FALSE,Singlet,Human
alignments.possorted.tagged_BC01910_N03,33,7096,33,6367,1,0.987774969977668,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01911_N01,20,3482,20,3279,1,0.992634497083366,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01912_N03,21,7765,21,6815,1,0.985430966848968,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01913_N02,4808,65,4458,63,0.991085086448818,0.992513262070942,FALSE,FALSE,FALSE,FALSE,Singlet,Human
alignments.possorted.tagged_BC01914_N03,5415,43,4905,43,0.988493821792954,1,FALSE,FALSE,FALSE,FALSE,Singlet,Human
alignments.possorted.tagged_BC01915_N03,21,6996,19,6314,0.96712671343233,0.98841431380724,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01916_N03,29,6001,29,5473,1,0.989413496241929,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01917_N01,14,3109,13,2977,0.971918771402921,0.994605229454905,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
